Feature,Relative Importance
avalon_fp15,0.019724728089957556
avalon_fp26,0.015398844606710111
pubchemfp192,0.013262638150363725
pubchemfp818,0.011374629171853546
avalon_fp983,0.010073026616785923
avalon_fp160,0.008747989449349814
avalon_fp526,0.008097059169921312
avalon_fp693,0.008091623174141105
avalon_fp575,0.006781853749888066
avalon_fp618,0.006411642356440938
avalon_fp763,0.006081977200225705
vpc-5,0.005472192034252722
vpc-4,0.005126519627615293
avalon_fp901,0.005067222494529357
pubchemfp351,0.004965070510658964
avalon_fp994,0.004823584825892357
avalon_fp807,0.004777583889601827
avalon_fp281,0.004723672536569561
avalon_fp1003,0.004457940975072811
vp-5,0.004409214506440382
vp-6,0.0043948356890499635
nf10ring,0.004382068947932828
pubchemfp186,0.004229463965823938
avalon_fp361,0.004197558331509962
pubchemfp384,0.003957751877001812
eta_etap,0.003892624834429874
hybratio,0.003830050063933985
pubchemfp185,0.0038153678026383053
pubchemfp578,0.003770373840066865
pubchemfp699,0.0036930075678379025
avalon_fp658,0.003636838157999592
pubchemfp355,0.003607897276250238
pubchemfp552,0.0035467241861531504
nt10ring,0.0035245298259508296
vch-6,0.0035153797777015307
pubchemfp370,0.0034965014361092303
pubchemfp592,0.0034889411095530586
maxdsch,0.003464892523145029
chi4n,0.0034119677306575437
avalon_fp215,0.0032976897557454566
pubchemfp584,0.003278553495141785
vp-7,0.00323790874753959
pubchemfp603,0.003042155914370774
pubchemfp15,0.0030180190367456693
pubchemfp143,0.0029755202411861684
minhaach,0.002948114762866279
peoe_vsa7,0.0029296644265829866
spmin1_bhv,0.0029204393017365393
pubchemfp371,0.0029089803082341915
avalon_fp829,0.0028729843941747734
spc-5,0.0028632309917715026
ggi2,0.0028146278763356426
pubchemfp677,0.00280192145688239
asp-2,0.0027935281133632823
pubchemfp340,0.002785886292693503
avalon_fp50,0.002771333093537523
avalon_fp905,0.002721964520166047
mindsch,0.0026853581160521042
pubchemfp618,0.00267056364933895
pubchemfp668,0.0026633479589389286
spmad_dt,0.002591579560125703
pubchemfp634,0.002517997633136522
vp-3,0.002507659244089134
ats5e,0.0024996531757710484
aatsc4v,0.002495100470336871
spmin1_bhm,0.0024947682870683214
nt6ring,0.0024905022735569396
pubchemfp608,0.0024901156934334125
spmin1_bhe,0.0024843837103929035
maxhaach,0.002470883621478022
maxdssc,0.0024369377256329957
eta_betap,0.0023930784215269317
n6ring,0.002386221796548156
avalon_fp952,0.0023665018601700073
pubchemfp341,0.002357309853772033
pubchemfp12,0.0023497367134784767
avalon_fp801,0.0023318609232058367
ats4e,0.0023213901234952106
avalon_fp771,0.0022813262321430133
atsc1v,0.0022806713791884443
vpc-6,0.00228018420235936
vp-4,0.002278074686800657
mpc7,0.0022075049661763563
spmin1_bhi,0.002204991951822923
ats3e,0.0021968014112035703
pubchemfp683,0.0021959842218317624
eta_betap_ns,0.002169948680661152
mdec-23,0.002154275644762601
maxaach,0.0020961096944713637
fractioncsp3,0.002084607955107999
chi3n,0.002075405391085779
pubchemfp595,0.0020741505886757465
pubchemfp470,0.002068213913605779
maxhbint3,0.002056815309658324
spmin1_bhs,0.002042718622178259
avalon_fp473,0.0020397866842858897
ic4,0.0020274974203678595
mqn36,0.0020268812819428006
jgi9,0.0019693761318913374
pubchemfp641,0.0019636157811500857
pubchemfp520,0.0019627879483297924
minaach,0.0019397287381813125
chi3v,0.0019337497509612613
mqn16,0.0019299389411370576
spmin2_bhm,0.0019270305112269377
jgi6,0.0019218768358630358
ggi3,0.0019102341861886713
chi2n,0.0018987381149746406
numaromaticrings,0.0018958681955210358
gats1i,0.0018711597216271134
ats4v,0.0018666423575037178
pubchemfp664,0.00186065434177279
maxhbint4,0.001854292313532276
avalon_fp368,0.0018337497775683372
maxwhba,0.0018312382822758659
avalon_fp913,0.001828213390538346
aatsc1v,0.001821734702307466
spmin2_bhi,0.001820630756235454
cic0,0.0018173558380722742
mats1v,0.0018134317894111928
spmin1_bhp,0.0018079437789416746
pipc10,0.0017981252118533274
asp-4,0.0017858791335862354
avalon_fp554,0.0017837015254396414
ee_dt,0.001781775204737318
avalon_fp93,0.001770957005912566
minhother,0.0017525886019540541
jgi7,0.001746179461839982
r_tpipctpc,0.0017336253100113305
chi4v,0.0017282035550670227
avalon_fp779,0.001708327243684293
eta_dbetap,0.0016997166964163087
jgi8,0.0016944782748233686
mwc6,0.0016905166485232605
c2sp2,0.0016844373799986467
avalon_fp419,0.0016777684714529171
natomp,0.001669705139279914
bcutp-1h,0.0016688392517424137
asp-1,0.0016652920917844642
mdec-33,0.001659313617835101
sp-3,0.0016556683168375292
eta_depsilon_d,0.001652849233775491
avalon_fp523,0.001649109891865334
naaromatom,0.0016479942861928492
peoe_vsa11,0.0016442287045239914
nwhba,0.0016378495912714535
chi1n,0.0016334173460793527
avalon_fp182,0.0016333769035573244
minhbint4,0.0016201416665039994
mqn31,0.001613613638453727
nring,0.001609925941172664
minsch3,0.001608502202070616
spmin2_bhp,0.0016068076349424437
sp-7,0.0016022537971473602
pubchemfp777,0.0015978136849045075
maxsch3,0.0015953275320817182
aatsc1i,0.0015943189785266238
spmax2_bhp,0.0015898506420250987
spmax7_bhe,0.001583883604570189
gats5v,0.0015835311642934274
avalon_fp316,0.0015814542924657258
eta_epsilon_3,0.001578962405786212
maxdo,0.001576944893702389
minhba,0.0015684724372267132
eta_eta,0.001560915696275253
spmin2_bhv,0.0015581264566534038
avalon_fp953,0.0015578504024752636
mats6c,0.0015572098961871364
ic2,0.0015561656245338656
aatsc3c,0.0015475269362294852
c3sp2,0.001547187983459319
avp-7,0.001545566748270362
aats2v,0.001541361237588504
mv,0.001540464613387613
ggi4,0.0015396014800057628
pubchemfp255,0.0015352244238282286
shdsch,0.001528024213400222
eta_etap_f,0.001526384580224094
mpc3,0.0015242364172567383
