Feature,Relative Importance
minaasn,0.005153821389753602
maxaasn,0.004893620683277216
maxdo,0.004638308366699427
pipc10,0.004257231452624886
avalon_fp281,0.004245725031295927
pipc8,0.0035533991166123093
saasn,0.003510488480966515
minwhba,0.0034662719719164457
pubchemfp259,0.0034447215375992364
pubchemfp453,0.0033752487969260845
pubchemfp257,0.003371171125148994
pubchemfp696,0.003352720577522654
avalon_fp151,0.003123507700700561
avalon_fp807,0.0030619520051255807
slogp,0.003061818337821004
crippenlogp,0.003002678945026214
avalon_fp10,0.0030006840305529204
spmax2_bhp,0.0029674413000871317
bcutc-1h,0.0028449531801357404
pipc1,0.002831262787800957
pipc6,0.0028231338066798998
avalon_fp412,0.0027585635086556934
pipc3,0.0027268781836845284
spmax8_bhv,0.0026551815704780237
spmax8_bhp,0.002613720274424978
mindssc,0.0025820394087868615
minhbint2,0.002575913586185526
spmax2_bhv,0.002568858232766533
bcutp-1h,0.0024810294834903715
maxdssc,0.0024179544723803344
avalon_fp402,0.002385824862185541
spmin2_bhi,0.002368574969183908
r_tpipctpc,0.002368565313939069
ve1_d,0.0023415883029459
pubchemfp185,0.002314287079503718
pubchemfp545,0.0023061138544071646
spmax1_bhi,0.002299477433856312
swhba,0.0022971577442640607
avalon_fp254,0.0022897401300623114
xlogp,0.002281118548673441
spmin1_bhs,0.0022801523479580765
avalon_fp215,0.0022706791274883413
avalon_fp712,0.002267805123121272
labuteasa,0.0022546903280760075
spmax7_bhv,0.002247781157050062
avalon_fp985,0.002243065964938327
avalon_fp901,0.0022370191998585436
spmax7_bhe,0.0022194890255040354
mdec-22,0.0022188434761335972
avalon_fp301,0.002201645164103392
mdec-23,0.0021955581385474238
maxscl,0.002188433502272585
avalon_fp952,0.0021727536095580468
naaromatom,0.002171220380822387
avalon_fp650,0.002157149175032834
spmin3_bhs,0.002127526798889711
spmax7_bhp,0.002123729493364011
spmax2_bhi,0.002122906295256314
spmax6_bhv,0.0021167254843892785
spmax7_bhm,0.0021083961252423007
gats8i,0.002101540457980213
aatsc2c,0.002100219679492105
gats1m,0.002099810881619632
pubchemfp15,0.0020924100489973212
spmin1_bhe,0.002091704804553493
pubchemfp340,0.0020867083601459587
lipoaffinityindex,0.0020694866284961372
aatsc1p,0.0020605627967514055
spmax7_bhi,0.0020140953617690696
avalon_fp50,0.0020123323602895264
avalon_fp905,0.0020102380329450535
gats1c,0.002004319568291713
spmax6_bhp,0.0020005249268318227
spmin2_bhe,0.0019986009580902696
avp-7,0.001997139264130802
avalon_fp829,0.0019926271846855575
natomp,0.0019911369026578227
spmax8_bhm,0.0019898681654858695
spmin2_bhs,0.0019775726637519687
avalon_fp658,0.001975785110439008
pubchemfp549,0.0019686966498999973
sdssc,0.0019659536554199764
avp-5,0.0019659319126575504
ee_dt,0.001960982592454459
nwhba,0.0019556237600749614
eta_shape_y,0.00195252244849134
avalon_fp779,0.001937284632871469
eta_depsilon_d,0.0019335848055613738
exactmw,0.0019318909155049118
jgi8,0.0019249163422272524
pubchemfp442,0.0019209043107393476
avalon_fp37,0.0019179262010500183
smr,0.0019150973686704426
spmin1_bhp,0.001914303836951599
pubchemfp464,0.0019081020877322538
spmin3_bhe,0.001903972845651176
spmax6_bhi,0.001903091659121747
spmin1_bhv,0.0019026187539065448
spmax8_bhs,0.0019021872923199348
mpc3,0.0019021152236250991
avalon_fp617,0.0018937020457250166
avalon_fp757,0.0018924813572495853
spmin4_bhe,0.0018923350806220808
spmax4_bhi,0.0018918956960261057
avalon_fp361,0.001889985359760017
spmin1_bhm,0.0018896192086540655
aats5p,0.0018791770636185487
avalon_fp195,0.0018757519736628103
vp-1,0.0018752848864537056
spmax3_bhp,0.0018725313898228966
mlfer_l,0.0018694329391793175
mats1p,0.0018654328015128817
jgi9,0.0018644504241907567
avalon_fp811,0.001861361373814613
avalon_fp1018,0.0018598823673600118
avalon_fp339,0.001857081082665495
spmax6_bhm,0.0018512598321996096
gats1p,0.0018486673908084201
spmax1_bhv,0.0018398738836016013
maxsso,0.0018355502911700946
pubchemfp546,0.0018309140675938514
spmax4_bhe,0.001830704873223155
eta_beta_s,0.0018293288308811118
spmax3_bhv,0.0018284006511076127
spmin3_bhp,0.001828218179599291
spmax1_bhe,0.0018281634850006445
eta_psi_1,0.0018278914653724846
atsc1p,0.0018249755886912908
spmin2_bhv,0.0018200207991274037
pubchemfp437,0.0018177908643328758
avalon_fp721,0.0018097343713245053
mwc6,0.001809652928178368
chi0v,0.0018077698680773486
avalon_fp930,0.0018058836895798818
mqn3,0.0018053045954151154
maxwhba,0.0018023269227009048
wtpt-2,0.00179955581735072
ggi2,0.0017981443490036057
minscl,0.00179457826081472
spmin6_bhv,0.001792574880039578
sp-3,0.0017906699234408329
aats3v,0.001789924592322675
spmax3_bhi,0.0017883303563721077
crippenmr,0.0017854281627795719
mqn30,0.001785114437881112
spmax2_bhe,0.0017826501174421758
aatsc3v,0.001781579870072251
aats8v,0.0017791838017662545
eta_beta,0.001775988281165442
rotbfrac,0.001769766655886307
gats5p,0.0017613367619438475
aatsc3c,0.001761157104635139
hmin,0.0017603338654634472
aatsc4v,0.0017597772655816785
gats6c,0.00175942969594078
pubchemfp502,0.0017521203634091435
spmin3_bhi,0.0017512880539402973
smr_vsa10,0.0017507270997452907
gats5v,0.0017483121132826464
spmin5_bhp,0.0017464972364555815
mlogp,0.0017463975870220887
gats1i,0.0017448843930614544
gats7i,0.0017350317730139377
nscl,0.0017344644217230332
ncl,0.001734126178881311
avalon_fp479,0.0017339734170258804
aats4p,0.001731526681741771
aats5v,0.0017307469381008629
asp-2,0.0017278087682307023
nhother,0.0017254336152602774
avalon_fp530,0.001721369445775394
peoe_vsa7,0.001721281147898085
mqn1,0.0017199849202936396
aats6p,0.0017185332783132242
spmin5_bhv,0.0017153572871244581
aatsc6v,0.0017150261086282355
wtpt-1,0.0017146973194110725
pubchemfp186,0.0017143467138524117
aatsc1v,0.0017132674796209678
mqn17,0.001708688677257409
peoe_vsa9,0.0017082431786630493
c2sp2,0.001707623250047543
maxaach,0.0017069233315191957
maxaan,0.0017065435522430781
spmax4_bhv,0.001703887418908394
aatsc6c,0.0017017951864973031
spmin2_bhp,0.0017006379100388193
spmin4_bhi,0.0016997261775180239
smr_vsa7,0.001697983492129399
asp-4,0.0016969808603863553
minhba,0.0016958496968094725
saach,0.0016939892098041549
pubchemfp449,0.0016909298586073472
slogp_vsa8,0.0016897610171381155
zmic2,0.0016896996027245478
mic1,0.0016858875051660189
atsc3c,0.0016842514872882793
pubchemfp777,0.001681072268584126
pubchemfp376,0.0016794821915418103
pubchemfp12,0.0016754723941100628
