Feature,Relative Importance
avalon_fp361,0.007816448041883002
avalon_fp3,0.004791158658259501
pipc10,0.004438277483886432
avalon_fp779,0.004393069881129877
smr_vsa10,0.0037162223184470725
pipc6,0.0037037020701652617
gats1p,0.003641405437222473
gats1v,0.0035782035516688866
pipc8,0.003563437087289379
avalon_fp871,0.0035399190714522364
avalon_fp994,0.0034066686209444515
eta_beta_ns_d,0.0032964430224872877
avalon_fp182,0.003281130224706037
pubchemfp590,0.003229719937569326
eta_betap_ns_d,0.0031551572910609622
avalon_fp822,0.003137942483529453
pubchemfp185,0.0030911488277055154
r_tpipctpc,0.0030492251898180892
mdec-33,0.003005610226567325
avalon_fp215,0.0028209950350156707
aats4v,0.002789122335945391
aats6v,0.002785233649995715
mlfer_e,0.002731598629652592
mv,0.002666995605626677
avalon_fp938,0.0026126223733287496
avalon_fp564,0.0026013402194115824
pubchemfp374,0.002599969571793558
aats2v,0.0025914912008185905
pipc3,0.0025808722137891393
aatsc2c,0.0025051798710512938
avalon_fp287,0.0024990794073899837
aats3v,0.002475135996825577
avalon_fp618,0.002455900884140128
aats4p,0.0024324290343935707
avalon_fp97,0.002424874615801121
aats1v,0.0023964185646470765
minsch3,0.0023836786765336158
mqn31,0.002360327841316862
avalon_fp554,0.00235977811945014
nring,0.0023569739821716496
gats1m,0.0023031363848790157
mic2,0.002299084641070715
asp-2,0.0022979040208638947
mic1,0.0022927849964780866
avalon_fp575,0.0022892859767935487
aats5v,0.002277527497073409
maxsch3,0.0022731421921548087
eta_shape_y,0.0022708725707534
aatsc3c,0.002269610107258592
gats1c,0.0022672258269338195
eta_beta_ns,0.0022527738484501287
maxdssc,0.002251121164649552
gats1i,0.0022372446789407302
avalon_fp877,0.002210173721609537
mic3,0.0022084560475245187
avalon_fp419,0.002180854290184722
spmin1_bhp,0.0021625318496572613
bcutp-1h,0.0021576348095905208
spmax3_bhm,0.0021210145645347294
mwc6,0.0021198429193370104
naasc,0.0021091164796162424
bcutc-1h,0.002108574398183743
jgi10,0.0021009278623042465
nwhba,0.0020996430832807907
c2sp2,0.0020985932003352243
aatsc6c,0.00209655354854941
slogp_vsa8,0.0020952220751324683
avalon_fp69,0.0020906605388605094
aats7p,0.002084448534612125
gats8i,0.0020803532944608186
aats6m,0.0020753263281644793
eta_beta,0.0020730563231577833
nscl,0.0020598274873886045
aats5p,0.0020561002740019847
mdec-23,0.0020556318479994845
sp-6,0.002049536866077351
natomp,0.0020482813232489292
mic5,0.0020387904775569245
ncl,0.0020385644571529454
mqn3,0.0020363731416111895
eta_depsilon_d,0.0020363119291462372
aats7v,0.0020254939119613473
slogp,0.0020230645112178716
aatsc8v,0.0020213921774009714
eta_epsilon_3,0.002019552883105867
avalon_fp339,0.0020144759502929146
ve3_dzs,0.002013349120331795
mlfer_s,0.002013323206822339
smr_vsa9,0.002011493021814361
sscl,0.002008207798401252
aats8v,0.0020068250232482196
n3heteroring,0.002005965402819559
pubchemfp257,0.001997697338371541
maxssch2,0.0019935828297650607
eta_etap_f,0.001991438317135047
zmic2,0.0019904394086828945
ve3_dzm,0.0019872021896495534
asp-1,0.0019830289266047625
atsc3c,0.0019762008364674734
aats6p,0.00197450179611117
avalon_fp901,0.001972763328910385
pubchemfp683,0.001971741900592533
pubchemfp15,0.001969043593012815
maxhbint3,0.00196441864622693
aats3p,0.001961593801506208
vr1_dzv,0.0019610940612144584
spmin1_bhm,0.0019470125013358846
aats3m,0.0019459676936047965
atsc1m,0.0019455066682487524
gats6c,0.0019389231215051516
gats8v,0.00193796607513345
slogp_vsa10,0.001937689185708617
minhba,0.0019275577580168853
wtpt-2,0.001913964992172604
aatsc1v,0.0019102151173895786
maxsso,0.001904236098268445
peoe_vsa9,0.0019014959530210122
spc-5,0.0018995220302016789
spmax1_bhv,0.001897534301061482
aats7m,0.001896761132615729
aatsc1i,0.0018860841394804351
aats2p,0.001883280600998657
gats8p,0.0018819572735999511
aatsc5c,0.0018784407462223466
spmin1_bhv,0.0018755071523636317
